Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
212,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
213,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
214,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
215,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
216,19.0,CartPole-v1,100000.0,0.0001,0.99,5,5
217,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
218,26.0,CartPole-v1,100000.0,0.0001,0.99,5,5
219,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
220,16.0,CartPole-v1,100000.0,0.0001,0.99,5,5
221,24.0,CartPole-v1,100000.0,0.0001,0.99,5,5
222,9.0,CartPole-v1,100000.0,0.0001,0.99,5,5
223,18.0,CartPole-v1,100000.0,0.0001,0.99,5,5
224,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
225,19.0,CartPole-v1,100000.0,0.0001,0.99,5,5
226,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
227,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
228,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
229,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
230,32.0,CartPole-v1,100000.0,0.0001,0.99,5,5
231,9.0,CartPole-v1,100000.0,0.0001,0.99,5,5
232,42.0,CartPole-v1,100000.0,0.0001,0.99,5,5
233,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
234,23.0,CartPole-v1,100000.0,0.0001,0.99,5,5
235,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
236,25.0,CartPole-v1,100000.0,0.0001,0.99,5,5
237,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
238,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
239,11.0,CartPole-v1,100000.0,0.0001,0.99,5,5
240,9.0,CartPole-v1,100000.0,0.0001,0.99,5,5
241,11.0,CartPole-v1,100000.0,0.0001,0.99,5,5
242,26.0,CartPole-v1,100000.0,0.0001,0.99,5,5
243,40.0,CartPole-v1,100000.0,0.0001,0.99,5,5
244,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
245,37.0,CartPole-v1,100000.0,0.0001,0.99,5,5
246,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
247,25.0,CartPole-v1,100000.0,0.0001,0.99,5,5
248,20.0,CartPole-v1,100000.0,0.0001,0.99,5,5
249,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
250,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
251,50.0,CartPole-v1,100000.0,0.0001,0.99,5,5
252,16.0,CartPole-v1,100000.0,0.0001,0.99,5,5
253,14.0,CartPole-v1,100000.0,0.0001,0.99,5,5
254,17.0,CartPole-v1,100000.0,0.0001,0.99,5,5
255,9.0,CartPole-v1,100000.0,0.0001,0.99,5,5
256,20.0,CartPole-v1,100000.0,0.0001,0.99,5,5
257,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
258,23.0,CartPole-v1,100000.0,0.0001,0.99,5,5
259,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
260,16.0,CartPole-v1,100000.0,0.0001,0.99,5,5
261,22.0,CartPole-v1,100000.0,0.0001,0.99,5,5
262,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
263,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
264,21.0,CartPole-v1,100000.0,0.0001,0.99,5,5
265,30.0,CartPole-v1,100000.0,0.0001,0.99,5,5
266,22.0,CartPole-v1,100000.0,0.0001,0.99,5,5
267,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
268,50.0,CartPole-v1,100000.0,0.0001,0.99,5,5
269,20.0,CartPole-v1,100000.0,0.0001,0.99,5,5
270,11.0,CartPole-v1,100000.0,0.0001,0.99,5,5
271,13.0,CartPole-v1,100000.0,0.0001,0.99,5,5
272,32.0,CartPole-v1,100000.0,0.0001,0.99,5,5
273,20.0,CartPole-v1,100000.0,0.0001,0.99,5,5
274,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
275,10.0,CartPole-v1,100000.0,0.0001,0.99,5,5
276,24.0,CartPole-v1,100000.0,0.0001,0.99,5,5
277,12.0,CartPole-v1,100000.0,0.0001,0.99,5,5
278,21.0,CartPole-v1,100000.0,0.0001,0.99,5,5
279,15.0,CartPole-v1,100000.0,0.0001,0.99,5,5
280,21.0,CartPole-v1,100000.0,0.0001,0.99,5,5
281,20.0,CartPole-v1,100000.0,0.0001,0.99,5,5
282,16.0,CartPole-v1,100000.0,0.0001,0.99,5,5
