Episode,Episode Score,Environment,Max Episodes,Seed
498,43.0,CartPole-v1,100000.0,9
499,15.0,CartPole-v1,100000.0,9
500,21.0,CartPole-v1,100000.0,9
501,12.0,CartPole-v1,100000.0,9
502,19.0,CartPole-v1,100000.0,9
503,22.0,CartPole-v1,100000.0,9
504,17.0,CartPole-v1,100000.0,9
505,34.0,CartPole-v1,100000.0,9
506,12.0,CartPole-v1,100000.0,9
507,15.0,CartPole-v1,100000.0,9
508,24.0,CartPole-v1,100000.0,9
509,24.0,CartPole-v1,100000.0,9
510,24.0,CartPole-v1,100000.0,9
511,18.0,CartPole-v1,100000.0,9
512,25.0,CartPole-v1,100000.0,9
513,10.0,CartPole-v1,100000.0,9
514,17.0,CartPole-v1,100000.0,9
515,15.0,CartPole-v1,100000.0,9
516,23.0,CartPole-v1,100000.0,9
517,26.0,CartPole-v1,100000.0,9
518,16.0,CartPole-v1,100000.0,9
519,30.0,CartPole-v1,100000.0,9
520,24.0,CartPole-v1,100000.0,9
521,19.0,CartPole-v1,100000.0,9
522,15.0,CartPole-v1,100000.0,9
523,19.0,CartPole-v1,100000.0,9
524,20.0,CartPole-v1,100000.0,9
525,16.0,CartPole-v1,100000.0,9
526,13.0,CartPole-v1,100000.0,9
527,34.0,CartPole-v1,100000.0,9
528,42.0,CartPole-v1,100000.0,9
529,28.0,CartPole-v1,100000.0,9
530,10.0,CartPole-v1,100000.0,9
531,74.0,CartPole-v1,100000.0,9
532,36.0,CartPole-v1,100000.0,9
533,25.0,CartPole-v1,100000.0,9
534,12.0,CartPole-v1,100000.0,9
535,29.0,CartPole-v1,100000.0,9
536,14.0,CartPole-v1,100000.0,9
537,40.0,CartPole-v1,100000.0,9
538,25.0,CartPole-v1,100000.0,9
539,30.0,CartPole-v1,100000.0,9
540,17.0,CartPole-v1,100000.0,9
541,25.0,CartPole-v1,100000.0,9
542,15.0,CartPole-v1,100000.0,9
543,12.0,CartPole-v1,100000.0,9
544,20.0,CartPole-v1,100000.0,9
545,14.0,CartPole-v1,100000.0,9
546,37.0,CartPole-v1,100000.0,9
547,17.0,CartPole-v1,100000.0,9
548,10.0,CartPole-v1,100000.0,9
549,28.0,CartPole-v1,100000.0,9
550,11.0,CartPole-v1,100000.0,9
551,23.0,CartPole-v1,100000.0,9
552,19.0,CartPole-v1,100000.0,9
553,32.0,CartPole-v1,100000.0,9
554,16.0,CartPole-v1,100000.0,9
555,21.0,CartPole-v1,100000.0,9
556,12.0,CartPole-v1,100000.0,9
557,34.0,CartPole-v1,100000.0,9
